epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,6289.22,0.55269,1.15386,0.50473,1.01433,0.86945,0.82016,0.86329,0.77218,0.86666,0.8224,0.85924,0.76425,0.45248,1.45057,0.57496,0.97936,0.00472,0.00472,0.00472
82,6367.04,0.56396,1.18891,0.51033,1.01964,0.8727,0.81664,0.86362,0.77273,0.86614,0.82231,0.85894,0.76465,0.45268,1.45098,0.57441,0.97948,0.004654,0.004654,0.004654
83,6443.92,0.55359,1.19505,0.50325,1.01651,0.87436,0.81678,0.86356,0.772,0.86741,0.82227,0.85932,0.76523,0.45222,1.4511,0.57395,0.97892,0.004588,0.004588,0.004588
84,6522.11,0.54843,1.14274,0.49662,1.00744,0.87395,0.8205,0.86366,0.773,0.86696,0.82233,0.85933,0.76475,0.45173,1.45002,0.57304,0.97832,0.004522,0.004522,0.004522
85,6598.29,0.55781,1.17769,0.49893,1.01257,0.87166,0.82085,0.86324,0.773,0.86747,0.82253,0.85935,0.76468,0.45156,1.44974,0.5726,0.97818,0.004456,0.004456,0.004456
86,6677.74,0.53971,1.15,0.48916,1.01234,0.87049,0.82232,0.86351,0.77359,0.86806,0.8242,0.85958,0.76448,0.45139,1.44825,0.57129,0.97764,0.00439,0.00439,0.00439
87,6757.3,0.56062,1.17046,0.49618,1.01384,0.86968,0.82274,0.86426,0.77344,0.86644,0.82443,0.85945,0.7651,0.45102,1.44918,0.57059,0.97736,0.004324,0.004324,0.004324
88,6836.19,0.55927,1.18625,0.49447,1.01488,0.86965,0.82279,0.86345,0.77351,0.86707,0.82403,0.85869,0.76443,0.45072,1.44798,0.57021,0.97688,0.004258,0.004258,0.004258
89,6915.3,0.55954,1.18813,0.49025,1.0111,0.86904,0.82357,0.86337,0.77475,0.86469,0.82461,0.85888,0.76416,0.45027,1.44809,0.56959,0.97647,0.004192,0.004192,0.004192
90,6995.2,0.55326,1.155,0.49079,1.00812,0.86838,0.82345,0.86285,0.77459,0.86656,0.82356,0.85864,0.76406,0.44992,1.44784,0.56883,0.97625,0.004126,0.004126,0.004126
91,7073.59,0.5455,1.15673,0.48044,1.00378,0.86968,0.82327,0.8634,0.77525,0.86481,0.82436,0.85929,0.76491,0.44962,1.4468,0.56829,0.97598,0.00406,0.00406,0.00406
92,7153.78,0.54312,1.14323,0.48334,1.00828,0.86901,0.82455,0.86348,0.77556,0.86607,0.82459,0.86014,0.76501,0.44902,1.44626,0.56743,0.97532,0.003994,0.003994,0.003994
93,7232.97,0.54581,1.15781,0.48631,1.00752,0.86901,0.82373,0.86344,0.77521,0.86588,0.82566,0.86108,0.76487,0.44867,1.44572,0.56645,0.97486,0.003928,0.003928,0.003928
94,7313.54,0.54727,1.15079,0.48463,1.00482,0.86782,0.82345,0.86352,0.77458,0.86589,0.82495,0.86076,0.76504,0.44827,1.44499,0.56557,0.9744,0.003862,0.003862,0.003862
95,7393.53,0.54846,1.15509,0.48425,1.00394,0.87054,0.8227,0.86383,0.77511,0.86803,0.82395,0.8606,0.76513,0.44821,1.44564,0.56524,0.97418,0.003796,0.003796,0.003796
96,7478.39,0.54629,1.16588,0.48386,1.00508,0.87032,0.82244,0.86364,0.77475,0.86807,0.82315,0.86047,0.76493,0.44784,1.44503,0.56494,0.97384,0.00373,0.00373,0.00373
97,7556.31,0.53963,1.14014,0.47008,1.00195,0.8726,0.82176,0.86386,0.77491,0.86817,0.82267,0.86013,0.76498,0.44735,1.4445,0.56405,0.97331,0.003664,0.003664,0.003664
98,7636.41,0.54041,1.14084,0.47129,1.00211,0.87593,0.82028,0.86419,0.77544,0.87005,0.8219,0.86018,0.76595,0.44686,1.44277,0.56348,0.9728,0.003598,0.003598,0.003598
99,7714.49,0.54648,1.14329,0.47508,1.00111,0.8723,0.82231,0.86463,0.77574,0.86711,0.82439,0.8607,0.7668,0.44657,1.44354,0.56313,0.97237,0.003532,0.003532,0.003532
100,7794.68,0.53291,1.1274,0.46385,0.99784,0.8717,0.82384,0.86422,0.77546,0.86499,0.82504,0.86033,0.76614,0.44635,1.44252,0.56249,0.97204,0.003466,0.003466,0.003466
101,7874.08,0.53607,1.14358,0.47743,1.00417,0.87253,0.82376,0.8649,0.77667,0.87062,0.82393,0.8609,0.76668,0.44595,1.44187,0.56144,0.97169,0.0034,0.0034,0.0034
102,7954.55,0.53733,1.13775,0.46634,1.00007,0.87723,0.81806,0.86482,0.77719,0.87525,0.81753,0.86099,0.76646,0.44561,1.44142,0.56066,0.97129,0.003334,0.003334,0.003334
103,8033.08,0.53246,1.13122,0.47154,0.99686,0.87892,0.81655,0.86497,0.77736,0.87773,0.81646,0.86107,0.76623,0.44591,1.44187,0.56042,0.97138,0.003268,0.003268,0.003268
104,8113.94,0.52593,1.119,0.46123,0.99586,0.87923,0.81649,0.86482,0.77732,0.87803,0.81642,0.86072,0.76671,0.44588,1.44213,0.55963,0.97124,0.003202,0.003202,0.003202
105,8192.86,0.53699,1.13026,0.46294,0.99924,0.87983,0.81604,0.865,0.77847,0.87849,0.8158,0.86082,0.76785,0.44586,1.44293,0.55928,0.9712,0.003136,0.003136,0.003136
106,8273.82,0.52655,1.12244,0.45851,0.99309,0.87953,0.81654,0.86514,0.77749,0.87805,0.81616,0.86087,0.76709,0.44571,1.44156,0.55839,0.9709,0.00307,0.00307,0.00307
107,8354.25,0.52498,1.12092,0.45403,0.99516,0.87963,0.81817,0.86542,0.7785,0.87752,0.81749,0.86134,0.76796,0.44554,1.44183,0.55751,0.9706,0.003004,0.003004,0.003004
108,8436.41,0.52357,1.10769,0.4538,0.99588,0.8768,0.81963,0.86565,0.77903,0.87518,0.81926,0.86158,0.76791,0.44545,1.441,0.55698,0.97049,0.002938,0.002938,0.002938
109,8513.94,0.52178,1.09762,0.44582,0.99264,0.87518,0.82177,0.86569,0.77877,0.87409,0.82009,0.86153,0.76769,0.44533,1.44004,0.55648,0.97032,0.002872,0.002872,0.002872
110,8592.26,0.51678,1.11295,0.44419,0.98938,0.87581,0.82205,0.86581,0.77869,0.87443,0.8214,0.86184,0.76797,0.4451,1.43907,0.55603,0.96995,0.002806,0.002806,0.002806
111,8669.72,0.52453,1.11027,0.44983,0.99106,0.87593,0.82313,0.86613,0.77911,0.87425,0.82271,0.86197,0.76803,0.44476,1.43872,0.55484,0.96951,0.00274,0.00274,0.00274
112,8748.84,0.50857,1.08842,0.4475,0.9873,0.87733,0.82279,0.86612,0.78012,0.8763,0.82089,0.86188,0.76827,0.44437,1.43827,0.55457,0.96907,0.002674,0.002674,0.002674
113,8829.48,0.52154,1.10673,0.43761,0.98833,0.87833,0.82246,0.86589,0.77965,0.87615,0.82178,0.86181,0.76857,0.4443,1.43818,0.55404,0.969,0.002608,0.002608,0.002608
114,8911.56,0.52839,1.12863,0.44684,0.99036,0.87543,0.82344,0.86663,0.77943,0.87579,0.82221,0.86239,0.76902,0.44364,1.43801,0.55375,0.96828,0.002542,0.002542,0.002542
115,8991.78,0.51292,1.10267,0.43707,0.98999,0.87586,0.82419,0.86719,0.77974,0.87523,0.82305,0.86291,0.7693,0.44342,1.4379,0.55308,0.96815,0.002476,0.002476,0.002476
116,9071.41,0.51332,1.07419,0.43674,0.98176,0.87973,0.82219,0.86688,0.78021,0.87822,0.82094,0.86247,0.76933,0.44323,1.43853,0.55257,0.96778,0.00241,0.00241,0.00241
117,9150.26,0.51559,1.07845,0.43773,0.98621,0.88033,0.82128,0.86688,0.78026,0.8788,0.82021,0.8626,0.77003,0.44298,1.43836,0.55212,0.96728,0.002344,0.002344,0.002344
118,9231.05,0.51079,1.0916,0.43936,0.98457,0.88059,0.82164,0.86714,0.78046,0.87889,0.82095,0.86284,0.77012,0.44307,1.43768,0.55144,0.96721,0.002278,0.002278,0.002278
119,9311.21,0.52492,1.10491,0.444,0.99025,0.88132,0.82363,0.86742,0.7815,0.87934,0.8219,0.86295,0.77135,0.44272,1.43695,0.55114,0.9667,0.002212,0.002212,0.002212
120,9393.95,0.51581,1.08576,0.43754,0.98356,0.87926,0.82425,0.86764,0.78068,0.87984,0.82338,0.86313,0.77114,0.44255,1.4363,0.55041,0.96635,0.002146,0.002146,0.002146
121,9471.99,0.51464,1.08446,0.43604,0.99149,0.87944,0.82433,0.86854,0.78209,0.87992,0.82354,0.86406,0.7719,0.44214,1.43579,0.54958,0.96592,0.00208,0.00208,0.00208
122,9554.08,0.50178,1.05983,0.41851,0.97603,0.88021,0.82447,0.86863,0.78143,0.87985,0.82362,0.86415,0.77188,0.44188,1.43553,0.54883,0.96548,0.002014,0.002014,0.002014
123,9635.56,0.51853,1.09517,0.42538,0.98502,0.88115,0.82422,0.86886,0.78132,0.88001,0.82327,0.86436,0.77231,0.44163,1.43527,0.5481,0.96518,0.001948,0.001948,0.001948
124,9714.96,0.50693,1.06573,0.42461,0.97778,0.88134,0.8241,0.8691,0.78181,0.87983,0.82379,0.86474,0.77214,0.44123,1.43469,0.54762,0.96474,0.001882,0.001882,0.001882
125,9794.69,0.50217,1.0565,0.42432,0.97878,0.88268,0.82445,0.86981,0.78243,0.88076,0.82346,0.86497,0.77182,0.44082,1.43369,0.54681,0.96431,0.001816,0.001816,0.001816
126,9874.66,0.51057,1.0813,0.42882,0.98357,0.88189,0.82441,0.86967,0.78256,0.87956,0.82252,0.86317,0.77153,0.44119,1.43382,0.54612,0.96463,0.00175,0.00175,0.00175
127,9954.99,0.50858,1.07134,0.41965,0.98091,0.88271,0.82455,0.87024,0.78258,0.8803,0.82297,0.86364,0.77155,0.44058,1.43343,0.54581,0.96387,0.001684,0.001684,0.001684
